Time,Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_class,Sex_of_casualty,Age_band_of_casualty,Casualty_severity,Pedestrian_movement,Cause_of_accident,Accident_severity
122,2,2,1,1,0,1,15,3,7,0,6,1,0,0,3,2,1,2,3,2,0,1,1,2,5,13,2
122,2,1,1,1,2,2,0,3,7,2,5,1,0,0,3,2,8,2,3,2,0,1,1,2,5,10,2
122,2,1,1,4,0,3,14,3,2,2,5,1,0,0,3,2,2,2,3,2,3,2,5,3,5,12,2
122,2,0,2,4,0,2,0,3,7,4,5,1,0,0,3,2,8,2,3,2,1,0,0,2,5,16,2
223,4,0,1,2,0,2,9,1,4,2,5,1,0,0,3,2,6,2,1,2,0,1,1,2,5,11,2
223,4,1,1,4,0,2,0,3,9,0,5,1,0,0,3,2,8,2,1,2,3,2,5,3,5,10,2
174,5,0,2,4,0,3,0,0,7,2,5,5,0,3,3,4,8,2,1,2,3,2,5,3,5,1,2
174,5,2,1,4,0,0,5,3,6,2,5,5,3,3,3,4,8,2,1,2,0,1,0,2,5,3,2
165,0,0,1,4,0,1,0,3,4,5,5,7,0,0,3,2,8,2,1,2,3,2,5,3,5,1,2
165,0,1,1,4,0,0,11,3,4,0,5,7,0,0,3,2,8,2,1,2,3,2,5,3,5,16,2
413,3,1,1,4,0,2,0,3,7,2,5,7,0,0,3,2,2,2,1,2,0,1,4,2,5,13,2
413,3,1,1,1,0,2,9,1,3,2,5,7,0,0,3,2,8,2,1,2,3,2,5,3,5,4,2
501,1,4,0,4,0,2,9,3,6,1,5,1,2,0,3,2,8,2,1,2,1,0,3,2,5,2,2
501,1,1,1,4,0,3,0,3,2,4,5,1,0,0,3,2,2,2,1,2,1,0,1,2,5,19,2
196,4,1,2,4,0,1,0,1,3,4,7,2,0,0,3,2,2,2,1,2,1,0,1,2,5,1,2
196,4,0,1,4,2,3,0,3,6,6,5,2,0,0,3,2,8,2,1,11,0,1,0,2,5,10,2
237,6,0,1,4,0,1,5,3,7,2,0,1,3,0,3,2,8,2,1,2,3,2,5,3,5,13,2
